Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
1,1,0,0,9,2016,36624,1046070.76,181129.8389,144 TERRACE,ROCKAWAY BOULEVARD
1,1,0,0,9,2016,28911,1014932.441,178651.3859,PENNSYLVANIA AVENUE,STANLEY AVENUE
1,1,0,0,9,2016,17461,994810.8086,160732.3213,QUENTIN ROAD,CONEY ISLAND AVENUE
1,1,0,0,9,2016,42121,1002397.568,229765.2551,1 AVENUE,EAST 118 STREET
1,1,0,0,9,2016,12842,985968.5891,158583.2541,BAY PARKWAY,86 STREET
1,1,0,0,9,2016,10803,963251.706,167595.9359,BAY STREET,CANAL STREET
1,1,0,0,9,2016,22932,995022.2882,219470.0654,EAST 71 STREET,3 AVENUE
1,1,0,0,9,2016,35485,1042851.623,155178.3921,ROCKAWAY FREEWAY,BEACH 59 STREET
1,0,0,1,9,2016,33940,1034290.568,186708.3642,LINDEN BOULEVARD,120 STREET
1,1,0,0,9,2016,24089,996841.9266,234635.3405,MORNINGSIDE AVENUE,WEST 124 STREET
1,1,0,0,9,2016,24918,1001812.582,157448.0628,COYLE STREET,AVENUE V
1,0,0,1,10,2016,21041,982009.5944,211104.7255,11 AVENUE,WEST 19 STREET
1,1,0,0,10,2016,52832,1025146.275,244015.7673,STARLING AVENUE,CASTLE HILL AVENUE
1,1,0,0,10,2016,22565,991677.9441,211408.3666,EAST 38 STREET,QUEENS MIDTOWN TUNNEL APPROACH
1,1,0,0,10,2016,55439,1030444.496,217145.8154,NORTHERN BOULEVARD,PRINCE STREET
1,0,0,1,10,2016,6675,948851.8205,163602.1085,CROWELL AVENUE,WESTCOTT BOULEVARD
1,1,0,0,10,2016,15139,980679.1771,195276.3585,WATER STREET,WHITEHALL STREET
1,1,0,0,10,2016,46864,1018509.287,217348.1674,ASTORIA BOULEVARD,93 STREET
1,1,0,0,10,2016,42513,1001518.315,235386.4788,WEST 135 STREET,5 AVENUE
1,1,0,0,10,2016,31820,1027860.361,183638.7086,ALBERT ROAD,CROSS BAY BOULEVARD
1,1,0,0,10,2016,43109,1007843.459,239931.4779,COURTLANDT AVENUE,EAST 162 STREET
1,1,0,0,10,2016,44769,1009410.051,253587.8479,WEST FORDHAM ROAD,SEDGWICK AVENUE
1,1,0,0,10,2016,17422,993641.1229,166857.1414,AVENUE J,EAST 10 STREET
1,1,0,0,10,2016,23781,999285.4748,222676.8641,EAST 89 STREET,YORK AVENUE
1,1,0,0,10,2016,24397,999628.6238,243378.8955,BROADWAY,WEST 158 STREET
1,1,0,0,10,2016,21775,990139.8045,201568.5047,COLUMBIA STREET,EAST HOUSTON STREET
1,1,0,0,10,2016,47512,1015377.269,238959.5015,LONGFELLOW AVENUE,BRUCKNER BOULEVARD
1,1,0,0,11,2016,42922,1005597.155,234065.5483,WILLIS AVENUE,EAST 138 STREET
1,0,0,1,11,2016,23352,991166.538,227173.3869,BROADWAY,WEST 89 STREET
1,1,0,0,11,2016,50884,1022650.831,212299.9331,104 STREET,41 AVENUE
1,1,0,0,11,2016,43510,1001846.379,248794.616,BROADWAY,WEST 180 STREET
1,1,0,0,11,2016,49462,1012516.324,263731.0458,BROADWAY,MANHATTAN COLLEGE PARKWAY
1,1,0,0,11,2016,27013,1005617.047,188539.2627,RALPH AVENUE,MACON STREET
1,0,0,1,11,2016,16607,993930.7283,154632.7075,OCEAN PARKWAY,AVENUE X
1,1,0,0,11,2016,42369,1008685.039,221130.7386,33 STREET,23 AVENUE
1,0,0,1,11,2016,54180,1022979.219,260887.2457,BARNES AVENUE,EAST 219 STREET
