:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
42,10934,50,27,5,BRONX,Reaction to Other Uninvolved Vehicle,Unspecified,,,,,2017-09-15T00:00:00.000,40.83142,POINT (-73.91831 40.83142),,,,,-73.91831,0,0,0,0,0,0,0,0,EAST 166 STREET,SHERIDAN AVENUE                 ,14:40,3750770,PASSENGER VEHICLE,,,,,10456
51,12079,11,10,4,MANHATTAN,Driver Inattention/Distraction,Oversized Vehicle,,,,,2017-09-15T00:00:00.000,40.753994,POINT (-73.9742 40.753994),,,,,-73.9742,0,0,0,0,0,0,0,0,LEXINGTON AVENUE,EAST 46 STREET                  ,7:00,3750761,TAXI,,,,,10017
17,16866,61,40,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.654682,POINT (-73.94134 40.654682),,,,,-73.94134,0,0,0,0,0,0,0,0,EAST 39 STREET,LENOX ROAD                      ,15:15,3751584,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11203
29,11606,24,34,5,BRONX,Other Vehicular,Failure to Yield Right-of-Way,,,,,2017-09-15T00:00:00.000,40.860577,POINT (-73.90255 40.860577),,,,,-73.90255,0,0,0,0,0,0,0,0,EAST 184 STREET,JEROME AVENUE                   ,15:00,3751661,PASSENGER VEHICLE,,,,,10468
,,,,,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.608364,POINT (-74.038666 40.608364),,,,,-74.038666,0,0,1,0,0,0,1,0,,,16:50,3751762,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
35,10929,50,27,5,,Driver Inexperience,Passing or Lane Usage Improper,,,,,2017-09-15T00:00:00.000,40.821945,POINT (-73.9281 40.821945),,,,,-73.9281,0,0,0,0,0,0,0,0,,EAST 151 STREET                 ,22:48,3751822,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
32,11727,56,1,4,MANHATTAN,Unspecified,,,,,140       CEDAR STREET                  ,2017-09-15T00:00:00.000,40.710243,POINT (-74.014145 40.710243),,,,,-74.014145,0,0,0,0,0,0,0,0,,,9:04,3751900,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10006
43,11610,58,26,5,BRONX,Turning Improperly,Unspecified,,,,,2017-09-15T00:00:00.000,40.8283,POINT (-73.88296 40.8283),,,,,-73.88296,0,0,0,0,0,0,0,0,WESTCHESTER AVENUE,BRONX RIVER AVENUE              ,12:00,3752051,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,10472
8,13825,5,38,2,BROOKLYN,Unsafe Lane Changing,Unspecified,,,,,2017-09-15T00:00:00.000,40.619247,POINT (-73.92208 40.619247),,,,,-73.92208,0,0,0,0,0,0,0,0,EAST 55 STREET,AVENUE N                        ,15:25,3752149,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11234
34,15309,54,62,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.713135,POINT (-73.87528 40.713135),,,,,-73.87528,0,0,0,0,0,0,0,0,78 STREET,METROPOLITAN AVENUE             ,17:50,3752283,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,,,,,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.803947,POINT (-73.928 40.803947),,,,,-73.928,0,0,0,0,0,0,0,0,,,22:00,3752367,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
47,24018,63,63,3,QUEENS,Other Vehicular,View Obstructed/Limited,,,,,2017-09-15T00:00:00.000,40.66643,POINT (-73.72981 40.66643),,,,,-73.72981,0,0,0,0,0,0,0,0,HOOK CREEK BOULEVARD,NORTH CONDUIT AVENUE            ,18:00,3751348,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11422
48,13829,68,55,2,BROOKLYN,Unsafe Speed,Unspecified,,,,,2017-09-15T00:00:00.000,40.684544,POINT (-73.96509 40.684544),,,,,-73.96509,0,0,1,0,0,0,1,0,WASHINGTON AVENUE,GATES AVENUE                    ,1:50,3750449,SPORT UTILITY / STATION WAGON,,,,,11238
32,11728,56,2,4,MANHATTAN,Following Too Closely,Unspecified,,,,290       BROADWAY                      ,2017-09-15T00:00:00.000,40.714806,POINT (-74.00577 40.714806),,,,,-74.00577,0,0,1,0,0,0,1,0,,,11:05,3751233,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10007
27,13514,14,48,2,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.678257,POINT (-74.002235 40.678257),,,,,-74.002235,0,0,0,0,0,0,0,0,HENRY STREET,HAMILTON AVENUE                 ,16:15,3751213,PASSENGER VEHICLE,MOTORCYCLE,,,,
10,12073,11,7,4,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,45        WEST 21 STREET                ,2017-09-15T00:00:00.000,40.7409,POINT (-73.99201 40.7409),,,,,-73.99201,0,0,0,0,0,0,0,0,,,21:30,3751158,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,10010
25,13827,61,40,2,BROOKLYN,Backing Unsafely,Unspecified,,,,,2017-09-15T00:00:00.000,40.650448,POINT (-73.91111 40.650448),,,,,-73.91111,0,0,0,0,0,0,0,0,DITMAS AVENUE,EAST 95 STREET                  ,12:56,3751114,PICK-UP TRUCK,,,,,11236
24,14509,25,65,3,QUEENS,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.732002,POINT (-73.824524 40.732002),,,,,-73.824524,0,0,0,0,0,0,0,0,MAIN STREET,68 DRIVE                        ,15:50,3751087,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11367
41,24013,62,64,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.68231,POINT (-73.84495 40.68231),,,,,-73.84495,0,0,1,0,0,0,1,0,,WOODHAVEN BOULEVARD             ,8:00,3751063,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
51,12419,71,9,4,,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-15T00:00:00.000,40.759308,POINT (-73.9653 40.759308),,,,,-73.9653,0,0,0,0,0,0,0,0,,EAST 57 STREET                  ,17:10,3751042,SPORT UTILITY / STATION WAGON,,,,,
7,18180,10,41,2,BROOKLYN,Turning Improperly,Unspecified,,,,730       64 STREET                     ,2017-09-15T00:00:00.000,40.63407,POINT (-74.01332 40.63407),,,,,-74.01332,0,0,0,0,0,0,0,0,,,10:40,3751015,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11220
38,16865,68,54,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,350       JAY STREET                    ,2017-09-15T00:00:00.000,40.693512,POINT (-73.98724 40.693512),,,,,-73.98724,0,0,0,0,0,0,0,0,,,23:15,3750985,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11201
41,24016,62,64,3,QUEENS,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.67137,POINT (-73.82548 40.67137),,,,,-73.82548,0,0,1,0,0,0,1,0,114 PLACE,135 AVENUE                      ,12:30,3751062,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11420
17,17614,55,46,2,BROOKLYN,Fell Asleep,Unspecified,,,,1593      EAST NEW YORK AVENUE          ,2017-09-15T00:00:00.000,40.673073,POINT (-73.909 40.673073),,,,,-73.909,0,0,0,0,0,0,0,0,,,11:40,3750940,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11212
22,11271,59,32,5,BRONX,Driver Inattention/Distraction,Unspecified,,,,2016      BRONXDALE AVENUE              ,2017-09-15T00:00:00.000,40.85033,POINT (-73.86563 40.85033),,,,,-73.86563,0,0,1,0,0,0,1,0,,,11:00,3750912,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,10462
7,13515,9,45,2,,Turning Improperly,Unspecified,,,,,2017-09-15T00:00:00.000,40.653873,POINT (-74.008156 40.653873),,,,,-74.008156,0,0,0,0,0,0,0,0,,39 STREET                       ,6:45,3750177,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
28,14784,40,70,3,,Other Vehicular,Driver Inattention/Distraction,Other Vehicular,,,,2017-09-15T00:00:00.000,40.731697,POINT (-73.87139 40.731697),,,,,-73.87139,0,0,0,0,0,0,0,0,,,20:50,3751152,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
34,14788,54,62,3,,Turning Improperly,Unspecified,,,,,2017-09-15T00:00:00.000,40.723995,POINT (-73.90864 40.723995),,,,,-73.90864,0,0,0,0,0,0,0,0,,56 DRIVE                        ,14:00,3750841,SPORT UTILITY / STATION WAGON,,,,,
16,16098,63,63,3,QUEENS,Backing Unsafely,Unspecified,,,,256-03    UNION TURNPIKE                ,2017-09-15T00:00:00.000,40.745388,POINT (-73.71508 40.745388),,,,,-73.71508,0,0,0,0,0,0,0,0,,,16:20,3750825,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11004
35,13093,7,16,4,MANHATTAN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.80098,POINT (-73.93178 40.80098),,,,,-73.93178,0,0,0,0,0,0,0,0,EAST 124 STREET,1 AVENUE                        ,10:35,3750795,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10035
28,14784,54,62,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.729866,POINT (-73.87733 40.729866),,,,,-73.87733,0,0,0,0,0,0,0,0,,,4:20,3750127,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
21,14510,66,68,3,QUEENS,Tire Failure/Inadequate,Unspecified,Unspecified,,,57-34     GRANGER STREET                ,2017-09-15T00:00:00.000,40.739048,POINT (-73.856766 40.739048),,,,,-73.856766,0,0,0,0,0,0,0,0,,,0:00,3750471,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,11368
8,13827,5,42,2,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.639008,POINT (-73.90715 40.639008),,,,,-73.90715,0,0,0,0,0,0,0,0,,EAST 88 STREET                  ,17:55,3751372,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
